Year,date_progress,State,STATEFP,Progress
2017,28/08/2016,UTAH,49,2
2017,28/08/2016,WISCONSIN,55,1
2017,28/08/2016,WYOMING,56,1
2017,04/09/2016,COLORADO,8,7
2017,04/09/2016,INDIANA,18,1
2017,04/09/2016,KANSAS,20,1
2017,04/09/2016,MICHIGAN,26,0
2017,04/09/2016,MONTANA,30,0
2017,04/09/2016,NEBRASKA,31,5
2017,04/09/2016,NEW MEXICO,35,6
2017,04/09/2016,NORTH DAKOTA,38,1
2017,04/09/2016,PENNSYLVANIA,42,0
2017,04/09/2016,TEXAS,48,2
2017,04/09/2016,UTAH,49,8
2017,04/09/2016,WISCONSIN,55,4
2017,04/09/2016,WYOMING,56,26
2017,11/09/2016,ARKANSAS,5,0
2017,11/09/2016,CALIFORNIA,6,0
2017,11/09/2016,COLORADO,8,17
2017,11/09/2016,IDAHO,16,5
2017,11/09/2016,ILLINOIS,17,0
2017,11/09/2016,INDIANA,18,2
2017,11/09/2016,KANSAS,20,4
2017,11/09/2016,LOUISIANA,22,0
2017,11/09/2016,MICHIGAN,26,2
2017,11/09/2016,MISSISSIPPI,28,0
2017,11/09/2016,MISSOURI,29,0
2017,11/09/2016,MONTANA,30,3
2017,11/09/2016,NEBRASKA,31,19
2017,11/09/2016,NEW MEXICO,35,16
2017,11/09/2016,NEW YORK,36,0
2017,11/09/2016,NORTH CAROLINA,37,0
2017,11/09/2016,NORTH DAKOTA,38,10
2017,11/09/2016,OHIO,39,0
2017,11/09/2016,OKLAHOMA,40,1
2017,11/09/2016,OREGON,41,5
2017,11/09/2016,PENNSYLVANIA,42,0
2017,11/09/2016,SOUTH DAKOTA,46,7
2017,11/09/2016,TEXAS,48,5
2017,11/09/2016,UTAH,49,16
2017,11/09/2016,WASHINGTON,53,32
2017,11/09/2016,WISCONSIN,55,11
2017,11/09/2016,WYOMING,56,40
2017,18/09/2016,ARKANSAS,5,1
2017,18/09/2016,CALIFORNIA,6,0
2017,18/09/2016,COLORADO,8,36
2017,18/09/2016,IDAHO,16,22
2017,18/09/2016,ILLINOIS,17,0
2017,18/09/2016,INDIANA,18,3
